章節,題號,題目,選項(A),選項(B),選項(C),選項(D),正確答案
第一章 民用航空法及相關法規,1,遙控無人機如為不法份子作為犯罪工具或因不當操作而致失控墜落者，可能導致何種後 果？,造成他人生命財產之損失。,危害公共利益。,影響飛航安全。,以上皆是。,D
第一章 民用航空法及相關法規,2,市面上遙控無人機類型繁多，為保障操作安全，操作人於購買時應留意產品何項資訊？,使用限制。,操作性能。,保固範圍。,以上皆是。,D
第一章 民用航空法及相關法規,3,遙控無人機之註冊、針對操作人員進行教育宣導及操作範圍警示之規定，係為達到哪個 目的？,刁難操作人員。,打擊遙控無人機市場。,安全使用。,以上皆是。,C
第一章 民用航空法及相關法規,4,操作證考取目的係為確保操作人於哪個階段能熟悉相關航空知識與管理規範，並具備一 定操作熟練度及緊急處置能力？,操作前及操作時。,操作前及操作後。,操作前。,操作後。,A
第一章 民用航空法及相關法規,5,外國人領有外國政府對於所持有遙控無人機之註冊、操作證及檢驗合格等證明文件者， 必須向哪個單位申請認可後，於遵守我國相關法令下從事遙控無人機活動？,外交部。,駐外單位。,民航局。,科技部。,C
第一章 民用航空法及相關法規,6,操作人僅透過遙控無人機即時傳輸圖像功能，是否即足以監控鏡頭外之周遭狀況？,否。,是。,視傳輸圖像清晰度而定。,視天氣狀況而定。,A
第一章 民用航空法及相關法規,7,操作人不得利用遙控無人機從事哪種行為？,合法行為。,非法行為。,適法行為。,法定行為。,B
第一章 民用航空法及相關法規,8,操作人不得無故利用遙控無人機對他人進行何種行為？,攝錄非公開活動。,竊聽私下談話。,窺視身體隱私部位。,以上皆是。,D
第一章 民用航空法及相關法規,9,操作人未經同意，不得以遙控無人機對他人進行何種行為？,錄音。,照相、錄影。,電磁紀錄竊錄。,以上皆是。,D
第一章 民用航空法及相關法規,10,操作人不得無故利用遙控無人機於哪個場所進行飛航活動？,私人庭院。,學校教室。,辦公室場所。,以上皆是。,D
第一章 民用航空法及相關法規,11,遙控無人機於空中進行飛航活動時，易伴隨較高之何種風險？,文化風險。,健康風險。,社會風險。,貿易風險。,C
第一章 民用航空法及相關法規,12,對違反規範之遙控無人機操作人及所有人所為之處罰，係欲達到哪個目的？,維持社會秩序。,增進公共利益。,維護公共安全。,以上皆是。,D
第一章 民用航空法及相關法規,13,針對違反規範之遙控無人機操作人及所有人所處以罰鍰額度，係衡量何種因素而定？,公眾利益及安全財產危害程度。,政府稅收及國家經濟指數。,國力強弱及世界局勢。,教育程度及人民素質等。,A
第一章 民用航空法及相關法規,14,操作人於遵守相關規範下從事屬休閒娛樂性質之遙控無人機活動，其活動風險以何種管 理方式為主？,財政管理。,自我管理。,衛生管理。,健康管理。,B
第一章 民用航空法及相關法規,15,為法人從事業務之遙控無人機操作人，依法須強制加入何種保險？,積水險。,責任險。,地震險。,颱風險。,B
第一章 民用航空法及相關法規,16,遙控無人機定義為何？,自遙控設備以信號鏈路進行飛航控制之無人航空器。,自遙控設備以自動駕駛操作之無人航空器。,其他經民航局公告之無人航空器。,以上皆是。,D
第一章 民用航空法及相關法規,17,某遙控無人機操作人欲代地方農會執行農藥噴灑作業，以下敘述何者正確？,該操作人須通過學、術科測驗。,該操作人不須通過術科測驗。,執行農藥噴灑作業前不需經申請核准。,以上皆是。,A
第一章 民用航空法及相關法規,18,於何處進行遙控無人機飛航活動適用民用航空法之「遙控無人機」相關規定？,建築物內密閉空間。,建築物外開放空間。,任何空間。,以上皆非。,B
第一章 民用航空法及相關法規,19,遙控無人機活動期間，其所有人或操作人應負責任為何？,使用安全之責。,風險管理之責。,法規遵循之責。,以上皆是。,D
第一章 民用航空法及相關法規,20,有關遙控無人機飛航活動，下列敘述何者正確？,未經許可不得飛航於禁航區。,可任意飛航於限航區。,航空站四周之一定距離範圍內飛航無相關規定。,以上皆是。,A
